Date,Total,Sent,Failed,Skipped,Duration,Segments,Cost
2026-08-07T02:29:00.000Z,8,7,1,0,26s,0,0.00
2026-08-07T02:26:00.000Z,70,37,33,0,3m 38s,0,0.00
2026-08-07T02:18:00.000Z,5,2,3,0,13s,0,0.00
2026-08-07T02:17:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T02:16:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T02:15:00.000Z,1,0,1,0,1s,0,0.00
2026-08-07T02:13:00.000Z,2,1,1,0,4s,0,0.00
2026-08-07T02:11:00.000Z,10,9,1,0,31s,0,0.00
2026-08-07T02:07:00.000Z,135,53,82,0,6m 56s,0,0.00
2026-08-07T01:59:00.000Z,20,9,11,0,1m 0s,0,0.00
2026-08-07T01:57:00.000Z,1,0,1,0,1s,0,0.00
2026-08-07T01:55:00.000Z,8,5,3,0,24s,0,0.00
2026-08-07T01:55:00.000Z,1,1,0,0,1s,0,0.00
2026-08-07T01:54:00.000Z,1,1,0,0,1s,0,0.00
2026-08-07T01:51:00.000Z,243,206,37,0,13m 31s,0,0.00
2026-08-07T01:35:00.000Z,22,19,3,0,1m 13s,0,0.00
2026-08-07T01:25:00.000Z,8,6,2,0,24s,0,0.00
2026-08-07T01:23:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T01:23:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T01:22:00.000Z,1,1,0,0,1s,0,0.00
2026-08-07T01:18:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T01:15:00.000Z,82,65,17,0,4m 33s,0,0.00
2026-08-07T01:10:00.000Z,1,1,0,0,1s,0,0.00
2026-08-07T01:08:00.000Z,606,542,63,1,34m 15s,0,0.00
2026-08-07T00:26:00.000Z,1,1,0,0,1s,0,0.00
2026-08-07T00:26:00.000Z,1,1,0,0,2s,0,0.00
2026-08-07T00:24:00.000Z,1,1,0,0,3s,0,0.00
2026-08-06T23:40:00.000Z,11,9,2,0,35s,0,0.00
2026-08-06T16:53:00.000Z,5,3,2,0,14s,0,0.00
2026-08-06T04:39:00.000Z,1,1,0,0,1s,0,0.00
2026-08-06T04:39:00.000Z,1,0,1,0,1s,0,0.00
2026-08-14T17:17:56.425Z,121,117,4,0,7m 30s,349,3.49
2026-08-14T18:51:17.200Z,1155,1154,1,0,77m 21s,3451,34.51
2026-08-14T21:38:27.634Z,1009,1008,1,0,63m 3s,3416,34.16
2026-08-14T22:00:41.557Z,35,35,0,0,2m 17s,175,1.75
2026-08-14T22:02:17.767Z,327,3,0,324,8s,13,0.13
2026-08-14T22:27:45.867Z,95,95,0,0,5m 36s,444,4.44
2026-08-14T22:29:33.844Z,18,18,0,0,59s,90,0.90
2026-08-17T17:54:05.573Z,679,214,4,461,14m 20s,1054,10.54
2026-08-17T18:20:29.380Z,178,178,0,0,10m 38s,769,7.69
2026-08-17T18:45:56.366Z,286,61,3,222,4m 4s,280,2.80
2026-08-17T19:35:49.039Z,225,224,1,0,14m 39s,1120,11.20
2026-08-17T20:15:14.316Z,313,312,1,0,21m 35s,956,9.56
2026-08-18T20:34:39.267Z,189,0,1,188,18s,0,0.00
2026-08-18T20:35:12.375Z,189,0,1,188,24s,0,0.00
2026-08-18T20:40:31.951Z,189,0,2,187,4m 59s,0,0.00
2026-08-18T20:47:59.675Z,189,0,1,188,3m 5s,0,0.00
2026-08-19T15:22:55.441Z,1,1,0,0,4s,5,0.05
2026-08-19T15:34:59.705Z,189,186,3,0,9m 50s,558,5.58
2026-08-19T15:55:29.737Z,319,319,0,0,18m 39s,957,9.57
2026-08-19T15:58:47.360Z,34,34,0,0,1m 41s,102,1.02
2026-08-19T16:00:23.086Z,13,13,0,0,39s,39,0.39
2026-08-19T20:21:28.625Z,216,212,3,1,12m 46s,1484,14.84
2026-08-21T16:04:06.375Z,442,440,2,0,29m 16s,1320,13.20
2026-08-21T17:40:50.538Z,394,394,0,0,26m 25s,1182,11.82
